train/rewards/format_reward,train/reward,train/rewards/accuracy_reward,train/learning_rate,_step,_runtime,train/reward_std,train/loss,train/global_step,train/epoch,train/kl,train/all_wrong,train/all_correct,train/grad_norm,_timestamp,train/temporal_rewards,train/completion_length
1.0,1.7312499284744263,0.5625,9.786597487660335e-07,13,1279.585546789,0.5377776771783829,0.0001,14,0.112,0.001529693603515625,0.0,0.25,3.767573833465576,1774838242.700314,1.0,164.625
1.0,2.1374999284744263,0.875,9.755282581475767e-07,14,1379.014432097,0.18763883411884308,0.0001,15,0.12,0.001445770263671875,0.0,0.75,1.623160719871521,1774838342.1292048,1.0,229.375
1.0,2.0687499046325684,0.8125,9.721881851187405e-07,15,1472.400231944,0.3751388490200043,0.0001,16,0.128,0.001262664794921875,0.0,0.5,5.339040756225586,1774838435.5150294,1.0,264.0
1.0,2.2187498807907104,0.9375,9.686409947459457e-07,16,1552.882211948,0.16249999403953552,0.0001,17,0.136,0.001895904541015625,0.0,0.75,1.8333381414413452,1774838515.996796,1.0,186.875
1.0,1.824999988079071,0.625,9.648882429441256e-07,17,1644.951040173,0.20310094952583313,0.0001,18,0.144,0.00159454345703125,0.25,0.5,1.8033385276794434,1774838608.0658097,1.0,221.5
1.0,1.793749988079071,0.625,9.609315757942502e-07,18,1728.157036688,0.2874999940395355,0.0001,19,0.152,0.00225067138671875,0.0,0.5,2.532036304473877,1774838691.2718036,0.75,170.5
1.0,1.8937498927116394,0.6875,9.567727288213004e-07,19,1810.377947916,0.48749998211860657,0.0001,20,0.16,0.00225067138671875,0.0,0.25,4.246973037719727,1774838773.4927058,1.0,189.125
1.0,2.056249976158142,0.8125,9.524135262330098e-07,20,1905.257364448,0.16249999403953552,0.0001,21,0.168,0.001903533935546875,0.0,0.75,1.7784645557403564,1774838868.372163,1.0,198.125
1.0,1.681249976158142,0.625,9.478558801197064e-07,21,1994.188353376,0.5761751234531403,0.0001,22,0.176,0.002040863037109375,0.0,0.0,4.888584613800049,1774838957.3031373,0.25,205.625
1.0,1.8562499284744263,0.6875,9.431017896156073e-07,22,2101.832282567,0.49447640776634216,0.0001,23,0.184,0.00214385986328125,0.0,0.25,2.8659780025482178,1774839064.947064,0.75,223.25
1.0,1.7625000476837158,0.6875,9.381533400219317e-07,23,2192.723383887,0.375,0.0001,24,0.192,0.002471923828125,0.0,0.25,6.660834789276123,1774839155.8381708,0.25,191.1875
1.0,2.1499998569488525,0.875,9.330127018922193e-07,24,2303.158654844,0.2126388493925333,0.0001,25,0.2,0.002101898193359375,0.0,0.75,1.948095440864563,1774839266.27335,1.0,226.6875
1.0,1.9312498569488525,0.75,9.276821300802533e-07,25,2409.731661542,0.4855394661426544,0.0001,26,0.208,0.00264739990234375,0.0,0.25,3.0572309494018555,1774839372.8464406,0.75,221.5
1.0,1.5812499523162842,0.4375,9.221639627510075e-07,26,2524.580942393,0.1724516898393631,0.0001,27,0.216,0.0026092529296875,0.5,0.25,1.2815262079238892,1774839487.6957262,1.0,205.1875
1.0,2.1374999284744263,0.875,9.164606203550497e-07,27,2618.000879823,0.18763883411884308,0.0001,28,0.224,0.00299072265625,0.0,0.75,2.492579221725464,1774839581.1156616,1.0,180.4375
1.0,1.9749999642372131,0.75,9.10574604566852e-07,28,2716.30459754,0.0,0.0001,29,0.232,0.00321197509765625,0.25,0.75,0.04671787843108177,1774839679.4193926,1.0,189.375
1.0,1.431249976158142,0.375,9.045084971874737e-07,29,2806.728717656,0.4318375587463379,0.0001,30,0.24,0.00312042236328125,0.25,0.0,5.157290458679199,1774839769.8434844,0.5,190.875
1.0,1.8749999403953552,0.6875,8.982649590120981e-07,30,2893.098799076,0.44999998807907104,0.0001,31,0.248,0.00304412841796875,0.0,0.25,3.20115065574646,1774839856.2133882,0.75,186.0625
